Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;307,881652832031;103,389266586304;225,4075;26,59939;8;142,5;False
2;305,805694580078;170,78094997406;224,7994;32,08553;8;116,5;False
3;323,827178955078;152,297742843628;241,5707;29,25819;8;121;False
4;324,1044921875;172,905735969543;241,8578;29,32796;8;121;False
5;324,142791748047;166,37600812912;241,9016;29,35294;8;121;False
6;323,839172363281;144,53715133667;241,5916;29,29256;8;121;False
7;324,106323242188;178,485648155212;241,867;29,35522;8;121;False
8;323,934753417969;189,444207382202;241,6945;29,33112;8;121;False
9;324,132568359375;163,944935321808;241,8934;29,35904;8;121;False
10;323,931610107422;158,572291755676;241,6877;29,31717;8;121;False
11;323,948608398438;122,945253372192;241,7091;29,33536;8;121;False
12;324,111938476563;181,172978973389;241,8687;29,34146;8;121;False
13;324,10693359375;182,242911148071;241,8693;29,36157;8;121;False
14;324,105346679688;192,584981536865;241,8672;29,35938;8;121;False
15;324,099334716797;194,949078178406;241,8571;29,34357;8;121;False
16;323,837585449219;207,509806632996;241,5895;29,29022;8;121;False
17;323,9326171875;159,150164699554;241,6894;29,31995;8;121;False
18;323,982666015625;117,367573928833;248,5791;33,57581;6;123;False
19;323,932373046875;130,044225311279;241,6915;29,32819;8;121;False
20;324,087738037109;150,031277656555;241,8458;29,3432;8;121;False
21;323,955322265625;166,134953308105;241,7185;29,34613;8;121;False
22;323,946075439453;129,045133113861;241,7081;29,3407;8;121;False
23;323,9111328125;170,443717575073;241,6715;29,33044;8;121;False
24;325,228637695313;192,890665435791;243,6544;32,1687;8;112;False
25;325,764038085938;160,964674377441;244,2038;32,30115;8;112;False
26;327,382598876953;208,887858390808;245,8031;32,42981;8;116;False
27;327,083038330078;132,825345897675;245,4678;32,23364;8;116;False
28;331,419036865234;129,14560842514;250,8717;38,31677;8;119,5;False
29;326,484039306641;145,814470481873;244,7921;31,82446;8;116;False
30;326,839599609375;129,900012493134;245,1955;32,07629;8;116;False
31;327,073272705078;182,923354148865;245,457;32,22815;8;116;False
32;326,842102050781;129,257172203064;245,1924;32,05261;8;116;False
33;327,081237792969;149,097857570648;245,4664;32,23511;8;116;False
34;326,843505859375;155,531648540497;245,1961;32,06262;8;116;False
35;327,083618164063;144,068328857422;245,4681;32,23279;8;116;False
36;327,075042724609;184,425367641449;245,459;32,229;8;116;False
37;326,450927734375;134,853513240814;244,75;31,78198;8;116;False
38;326,846282958984;186,27117395401;245,1983;32,06067;8;116;False
39;326,823394775391;118,088861274719;245,175;32,05591;8;116;False
40;326,846984863281;135,634455108643;245,1974;32,05347;8;116;False
41;327,0859375;145,536560440063;245,4678;32,22156;8;116;False
42;326,827514648438;183,391365623474;245,1775;32,04932;8;116;False
43;326,504516601563;147,872336483002;244,8152;31,83838;8;116;False
44;326,832855224609;149,277527332306;245,1888;32,07593;8;116;False
45;331,009429931641;194,764569473267;249,7323;34,31763;8;119,5;False
46;330,752471923828;172,270101165771;249,4515;34,16699;8;119,5;False
47;331,891174316406;115,196371078491;250,6498;34,61377;8;119,5;False
48;331,527679443359;214,844981861114;250,2589;34,42944;8;119,5;False
49;331,917358398438;149,239440536499;250,6705;34,59033;8;119,5;False
50;332,466003417969;209,02141456604;251,2214;34,677;8;119,5;False
