Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;505.198120117188;110.036668356508;235.6159;34.6838;7;204.0;False
2;518.3994140625;124.783536373824;238.3487;28.57765;6;182.5;False
3;515.372253417969;166.827272123843;237.5079;29.42621;7;181.0;False
4;539.146545410156;93.9504384431988;251.3793;34.54163;6;196.0;False
5;485.600891113281;79.6797906033695;225.2613;32.10832;6;185.0;False
6;514.7041015625;95.4185513630509;236.2967;28.05663;7;203.0;False
7;528.125122070313;187.354164164513;243.5576;29.69501;7;205.5;False
8;512.089294433594;91.713738103956;235.3007;28.3577;7;201.0;False
9;504.884429931641;96.8078575305641;230.9624;26.88135;7;88.0;False
10;513.510620117188;146.481545380503;236.048;28.49817;7;170.5;False
11;524.828125;73.16243307814;242.7101;30.79453;8;162.0;False
12;506.146240234375;86.4293612108566;232.4656;28.20151;7;180.0;False
13;503.035308837891;108.584037952311;231.2629;28.54422;5;179.5;False
14;502.288421630859;94.1295776430517;232.8636;31.84564;8;175.0;False
15;513.059387207031;148.536698877066;236.0732;28.85059;8;171.0;False
16;516.652770996094;106.320462967735;238.598;30.23535;5;185.0;False
17;512.971923828125;136.361593651772;235.8776;28.61432;8;171.5;False
18;478.257293701172;32.0879284586757;216.8065;24.28149;8;137.5;False
19;524.758728027344;192.938397525251;242.4684;30.44415;8;155.0;False
20;539.0615234375;91.2002776145935;251.9016;35.72229;8;155.5;False
21;521.496154785156;89.6841915130615;241.8643;32.0202;8;134.0;False
22;522.902038574219;190.714884326793;242.0;3.31;63025;8.0;False
23;508.751647949219;48.2698284775019;233.386;27.79755;6;139.0;False
24;514.519958496094;108.599153592438;236.5236;28.5155;8;141.5;False
25;500.287261962891;118.362093525031;230.428;29.21899;8;166.0;False
26;511.592926025391;54.0710006587207;235.2942;28.69128;5;173.5;False
27;465.946380615234;87.709441241622;223.6658;60.07727;5;174.5;False
28;536.704833984375;104.217365532368;250.6597;35.41846;7;205.0;False
29;513.662048339844;138.917741245031;235.746;27.95178;7;182.0;False
30;527.849365234375;158.655367574096;245.211;32.75818;7;209.0;False
