Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,1478.1328125,286.483583939541,441.6286,55.06232,8,167.5,False
2,1933.0263671875,259.183406505565,299.379,69.05614,7,108.5,False
3,1731.61364746094,473.497851316002,439.7697,49.00684,7,127,False
4,1586.0654296875,322.717666433845,236.1779,59.43997,8,90,False
5,1226.90124511719,414.625065005169,300.8286,35.70566,7,90,False
6,2419.46044921875,653.191608798271,547.228,63.32996,6,145.5,False
7,2809.06372070313,477.701763843768,623.4333,78.52731,6,176.5,False
8,2882.68676757813,437.164237172129,407.1908,104.1298,7,148.5,False
9,4762.10546875,379.947235485722,656,84.45026,7,149,True
10,950.569213867188,175.497408602524,337.5406,47.15637,4,171,False
11,1990.56518554688,272.286572225657,441.9536,57.55219,7,130,False
