Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,88778.953125,13199.1262207031,231.9118,30.14274,7,112,False
2,87343.0234375,27934.3957519531,228.4737,29.80244,7,112,False
3,90509.5625,36721.3276941299,240.852,29.23611,7,131,False
4,90506.1171875,27326.299810791,240.8361,29.29617,7,131,False
5,90359.9609375,22123.7543945313,240.4957,29.18135,7,131,False
6,90543.09375,24919.8885253906,240.9331,29.23788,7,131,False
7,90552.2734375,58785.6885253906,240.9556,29.23666,7,131,False
8,90569.109375,36228.1072753906,240.9952,29.24643,7,131,False
9,92420.640625,24399.1898071289,245.3183,32.15253,8,132,False
10,92432.5703125,39863.2269996643,245.3437,32.17499,8,132,False
11,92341.3984375,43985.4179244995,245.1559,31.96426,8,132,False
12,92344.3125,31632.3591552734,245.1629,31.96472,8,132,False
13,91751.625,31087.1784912109,243.8842,30.90814,8,132,False
14,92755.0703125,48446.1831542969,246.9089,32.60919,7,135.5,False
15,92738.921875,14975.1553466797,246.8682,32.61761,7,135.5,False
16,92806.65625,20042.5759277344,247.0214,32.68732,7,135.5,False
17,92591.03125,28077.3105712891,246.54,32.42645,7,135.5,False
18,92744.75,25792.4634033203,246.8817,32.62164,7,135.5,False
19,94486.46875,33255.2077880859,247.9344,33.46338,8,123,False
20,95227.59375,41606.2503662109,249.6362,34.04456,8,123,False
21,95215.5,36202.5376625061,249.6084,34.03558,8,123,False
22,96118,39715.119921875,250.4293,34.89783,8,118,False
23,97625.078125,18085.7991210938,253.9216,35.84888,8,118,False
24,96384.6796875,30109.7869659424,251.0485,35.06091,8,118,False
25,96282.9140625,32114.4256347656,250.8173,34.97205,8,118,False
26,95855.0234375,21617.9753295898,249.8368,34.6394,8,118,False
27,97906.21875,20711.8189208984,254.5701,36.03906,8,118,False
28,97948.5078125,22273.9370361328,254.6689,36.06128,8,118,False
29,97613.4296875,12870.8063964844,253.8947,35.84155,8,118,False
30,97607.078125,29264.7370361328,253.8816,35.82935,8,118,False
