Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;947.042175292969;90.730717086792;515.4031;68.29064;7;121.5;False
2;2194.08569335938;284.020597887039;656.0;88.44404;8;155.0;True
3;2193.65698242188;124.50530090332;656.0;89.47795;8;155.0;True
4;2193.06225585938;191.154909896851;656.0;90.95387;8;155.0;True
5;2194.0673828125;227.66283531189;656.0;88.48724;8;155.0;True
6;2193.85180664063;186.664808273315;656.0;89.00494;8;155.0;True
7;2193.18188476563;353.343625831604;656.0;90.65314;8;155.0;True
8;2194.91528320313;407.714272689819;656.0;86.50861;8;155.0;True
9;2194.43872070313;165.434241580963;656.0;87.61005;8;155.0;True
10;2195.04467773438;184.104100179672;656.0;86.21436;8;155.0;True
11;2194.86767578125;326.797421264648;656.0;86.61743;8;155.0;True
12;2194.01733398438;168.614978027344;656.0;88.60718;8;155.0;True
13;2194.76586914063;271.036331176758;656.0;86.85071;8;155.0;True
14;2193.63623046875;245.958463096619;656.0;89.52905;8;155.0;True
15;2193.26196289063;290.971934986114;656.0;90.45313;8;155.0;True
16;2193.06640625;113.955497264862;656.0;90.94312;8;155.0;True
17;2193.4697265625;195.923002052307;656.0;89.9375;8;155.0;True
18;2193.49682617188;222.247383880615;656.0;89.87085;8;155.0;True
19;2194.36547851563;112.120603179932;656.0;87.78162;8;155.0;True
20;2193.35009765625;133.531686401367;656.0;90.2334;8;155.0;True
21;2194.11010742188;288.900843811035;656.0;88.38586;8;155.0;True
22;2194.20874023438;197.17458357811;656.0;88.15125;8;155.0;True
23;2194.76440429688;237.994785690308;656.0;86.854;8;155.0;True
24;2193.99926757813;156.950709533691;656.0;88.65063;8;155.0;True
25;2192.91845703125;190.884554862976;656.0;91.31787;8;155.0;True
