Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,77090.703125,25107.5362426758,234.8273,28.56623,7,148,False
2,77101.3984375,19779.1258911133,234.8581,28.56944,7,148,False
3,78924.546875,23331.2618927002,239.233,28.64215,6,141.5,False
4,79951.796875,26767.7758544922,247.457,33.21762,6,183,False
5,79529.125,22715.0676254272,246.3513,32.5927,6,183,False
6,79890.2265625,15889.7284545898,247.2948,33.13245,6,183,False
7,79834.4375,27550.7634094238,247.1535,33.02982,6,183,False
8,79621.0078125,16659.7123779297,246.583,32.76968,6,183,False
9,80123.640625,19973.6480102539,247.9118,33.44318,6,183,False
10,80020.8046875,33125.8018554688,247.6465,33.27789,6,183,False
11,80010.4765625,29584.5362792969,245.474,32.31549,8,167,False
12,79955.859375,12794.3217956543,245.3322,32.22711,8,167,False
13,79998.2890625,31972.0634521484,245.4461,32.27808,8,167,False
14,79866.8671875,29566.8962478638,245.1001,32.08759,8,167,False
15,80005.2890625,16198.8112548828,245.4628,32.29657,8,167,False
16,79876.8828125,13068.234362793,245.1285,32.09247,8,167,False
17,80000.5390625,29470.1563598633,245.4493,32.29407,8,167,False
18,81323.921875,30042.5572998047,247.4636,33.47705,7,156,False
19,81303.4765625,23649.2406402588,247.3989,33.49701,7,156,False
20,81312,22177.7950317383,247.4274,33.48206,7,156,False
21,81235.7265625,27976.9744743347,247.2241,33.38879,7,156,False
22,81307.984375,25998.6813476562,247.4129,33.49365,7,156,False
23,81383.59375,29279.6768081665,247.6103,33.604,7,156,False
24,81323.296875,28439.0851806641,247.4603,33.48352,7,156,False
25,81294.03125,27397.0477905273,247.3796,33.45984,7,156,False
26,81292.25,27606.7991821289,247.3715,33.47217,7,156,False
27,81293.4765625,10422.7541748047,247.3776,33.46143,7,156,False
28,81437.8359375,27120.910458374,247.7617,33.64001,7,156,False
29,84798.515625,30923.8198669434,251.8741,35.0636,8,119,False
30,81262.671875,25614.3501953125,247.2973,33.41553,7,156,False
