Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,43315.5859375,10442.2578857422,224.3171,40.88822,7,138,False
2,47732.3359375,12082.7040771484,256.2254,32.88955,8,133.5,False
3,47732.765625,17730.3304321289,256.1729,33.20824,8,133.5,False
4,45333.48828125,13999.1209228516,238.3271,29.56763,8,142,False
5,61098.0546875,10003.38046875,338.4624,48.66348,8,140,False
6,48374.71484375,10334.5284179688,257.6794,36.23253,8,140,False
7,45353.42578125,13537.9775512695,238.4502,29.61426,8,142,False
8,46814.10546875,23689.834777832,247.9919,33.50146,8,140,False
9,45333.8046875,19097.4400390625,238.3312,29.55405,8,142,False
10,45333.328125,10396.6378540039,238.3262,29.56708,8,142,False
11,45359.6953125,16238.0935791016,238.4862,29.64697,8,142,False
12,45318.86328125,14205.9508422852,242.3083,31.63208,8,128.5,False
13,45515.17578125,12352.2954101563,243.4615,32.3822,8,128.5,False
14,45447.72265625,18796.6516845703,243.0608,32.15302,8,128.5,False
15,45350.6015625,21232.4779296875,238.4323,29.61078,8,142,False
16,45351.71484375,15712.2341796875,238.4358,29.6358,8,142,False
17,45347.53125,13509.9290527344,238.4127,29.60791,8,142,False
18,45300.53125,13309.4590576172,242.204,31.54028,8,128.5,False
19,47649.6484375,18180.1765769959,253.2711,35.35059,8,139.5,False
20,47647.37890625,4764.85746765137,253.2561,35.35138,8,139.5,False
21,47581.2265625,9342.21689453125,252.88,35.05847,8,139.5,False
22,47646.6015625,15962.9257080078,253.2584,35.31335,8,139.5,False
23,47605.82421875,13920.3420166016,253.0299,35.11548,8,139.5,False
24,47727.0859375,12524.6554382324,253.7652,35.41516,8,139.5,False
25,47542.40234375,11075.0106933594,252.6229,35.07434,8,139.5,False
26,47541.5625,9796.94858398437,252.6199,35.06116,8,139.5,False
27,47631.4609375,20666.9077514648,253.1574,35.32336,8,139.5,False
28,47629.52734375,12200.5396240234,253.1458,35.31775,8,139.5,False
29,47646.65625,12050.1622924805,253.2513,35.35156,8,139.5,False
30,47587.4140625,14798.0443603516,252.9218,35.05115,8,139.5,False
