Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,12246.75,1800.46681374926,443.1221,54.31094,8,169.5,False
2,10247.8212890625,1514.68014084399,406.0979,49.49926,6,158.5,False
3,6417.8564453125,1939.99820936322,334.5829,37.41115,8,191,False
4,22745.189453125,2354.32943187952,625.3629,71.76157,6,140.5,False
5,16287.2060546875,3032.312098068,546.1641,58.66414,6,198,False
6,11296.7236328125,2681.13301745057,333.9727,66.6925,7,128,False
7,12341.5830078125,3257.8421715498,336.319,72.43375,7,145,False
8,11284.0009765625,2166.6634151116,405.9914,54.6268,8,163,False
9,18111.580078125,2368.3743036367,513.1211,69.62497,8,180.5,False
10,7033.72216796875,1748.50365523696,337.3112,40.75208,8,186,False
11,15668.5771484375,2201.27105505466,511.7643,60.25702,6,123,False
12,16839.173828125,4127.83190041184,549.5179,60.31256,7,124.5,False
13,4898.88818359375,1220.64428665638,268.3097,35.56885,7,156.5,False
14,24591.798828125,2962.07228532881,656,73.99329,6,169,True
15,23681.01953125,1307.69077115059,621.0702,75.27808,6,187,False
16,10104.8037109375,1358.8122126624,406.194,48.79297,8,208.5,False
17,13193.658203125,2443.76955603361,475.8474,54.48694,8,209.5,False
18,24433.138671875,2786.31564579308,474.2904,102.0598,7,150,False
19,14057.5244140625,2391.45641000271,479.2346,57.69995,8,161,False
20,16466.333984375,2521.59843304157,546.2538,59.3175,8,187,False
21,15755.275390625,2442.16167750936,515.8419,60.1167,8,193.5,False
22,28335.251953125,6887.87360899448,656,85.41235,8,156.5,True
23,18639.296875,2461.02754386663,476.5375,77.24902,5,139.5,False
24,6790.826171875,1436.07396478653,343.3837,38.599,8,181,False
25,8180.86767578125,1782.23107125759,371.1299,43.12939,8,137.5,False
26,10855.3212890625,3374.21779234409,441.045,48.2572,7,180.5,False
27,7863.2060546875,1748.95365000963,374.3202,41.05066,7,166,False
28,16683.318359375,1583.74108531475,513.052,64.06677,8,152,False
29,25556.138671875,3288.46059526205,656,76.9364,7,161.5,True
30,26881.673828125,4324.82363455296,656,80.97766,7,155.5,True
