Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;179.877975463867;-21.6329730987549;287.5246;33.53345;8;222.0;False
2;95.6985473632813;-54.7749632000923;194.9861;22.12461;7;203.0;False
3;1569.96606445313;110.415463101864;656.0;72.16013;6;186.5;True
4;1571.39807128906;43.9976122379303;656.0;83.98048;7;186.0;True
5;413.374847412109;-7.61270141601562;518.5102;63.64648;6;223.0;False
6;289.9599609375;41.903412437439;338.1521;43.0787;7;105.0;False
7;530.195922851563;4.23912487030029;584.671;65.24966;7;122.0;False
8;207.547286987305;-45.8484748125076;269.0989;31.98376;7;129.5;False
9;300.027374267578;-7.3701623916626;371.5976;44.29736;6;152.0;False
10;507.617950439453;42.6772265672684;581.8964;64.71594;8;161.5;False
11;397.000579833984;38.5086275100708;475.0169;62.33649;8;168.5;False
12;292.008697509766;-47.95357837677;366.1982;43.10522;8;157.0;False
13;364.318603515625;37.8073164343834;443.6369;51.81732;6;169.0;False
14;1572.451171875;74.7243242263794;656.0;92.01172;8;185.5;True
15;429.492370605469;-26.534440612793;508.1035;56.38885;8;168.5;False
16;271.672668457031;10.5037477493286;333.4332;54.89465;8;134.5;False
17;264.804870605469;3.48755035400391;334.5801;37.24768;8;147.0;False
18;200.658645629883;-51.0283402442932;268.1061;30.52563;7;141.0;False
19;468.635223388672;46.2159250259399;544.8426;127.9263;8;178.0;False
20;264.27734375;-5.63851137161255;337.4603;90.67065;7;164.5;False
21;511.663330078125;10.1346904754639;587.0606;73.52734;8;165.5;False
22;387.746917724609;10.7526575088501;472.4214;53.255;7;180.0;False
23;535.20068359375;19.614977991581;621.6403;68.10339;6;186.5;False
24;295.348114013672;3.41680450439453;372.9539;41.44189;7;163.5;False
25;217.846130371094;16.023037147522;302.3307;35.15479;7;176.0;False
26;297.826965332031;8.18591384887695;370.8192;42.57776;8;154.5;False
27;370.58056640625;15.9343423843384;437.4422;46.38342;8;143.0;False
28;265.614532470703;15.1043268203735;336.4228;39.41772;8;149.5;False
29;243.734085083008;-13.7581861495972;334.5696;39.14441;8;189.5;False
30;419.003356933594;-22.9914738476276;508.0511;62.02197;7;190.5;False
