Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,143416.328125,27152.8126037598,409.5706,42.90819,8,134.5,False
2,194929.5,50077.8312133789,556.4944,70.9874,8,174,False
3,257963.859375,56504.747454834,656,70.10263,8,161.5,True
4,257867.53125,45632.1975646973,656,69.06584,8,161.5,True
5,257879.640625,41411.434197998,656,69.19656,8,161.5,True
6,257883.421875,61020.0742248535,656,69.23746,8,161.5,True
7,257868.8125,40389.1086914062,656,69.07956,8,161.5,True
8,257877.34375,55953.2434570312,656,69.17188,8,161.5,True
9,257882.125,53286.5845275879,656,69.22351,8,161.5,True
10,257849.859375,64066.6794769287,656,68.87451,8,161.5,True
11,257841.671875,44285.9852905273,656,68.78583,8,161.5,True
12,257909.84375,46205.9569030762,656,69.5224,8,161.5,True
13,257946.96875,59784.0586975098,656,69.92157,8,161.5,True
14,257888.125,44036.5903808594,656,69.28821,8,161.5,True
15,258684.109375,72881.338293457,656,77.61414,8,174.5,True
16,257928.21875,35014.2801574707,656,69.72009,8,161.5,True
17,257905.046875,50249.402557373,656,69.4707,8,161.5,True
18,257900.578125,62582.2091247559,656,69.42249,8,161.5,True
19,257886.21875,65412.0806030273,656,69.26758,8,161.5,True
20,257860.765625,61613.7346374512,656,68.99255,8,161.5,True
21,260497.328125,71468.847277832,656,98.17444,6,197,True
22,258161.484375,44940.2378479004,648.3655,100.0386,6,197,True
23,260763.78125,41628.7677246094,656,100.671,6,197,True
24,260497.78125,51822.7363525391,656,98.17871,6,197,True
25,257883.265625,44323.9734191895,656,69.23584,8,161.5,True
26,257856.625,55264.0446472168,656,68.94788,8,161.5,True
27,260968.375,63873.9246337891,656,102.5779,6,197,True
28,260382.15625,48105.3833007813,656,97.09033,6,197,True
29,260708.078125,34715.4702575684,656,100.1504,6,197,True
30,257916.234375,53807.3574279785,656,69.59106,8,161.5,True
