Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,46631.91015625,17061.0530447006,228.0917,27.6509,7,143.5,False
2,47946.03125,19737.0782268524,239.935,30.05044,6,151.5,False
3,47957.48828125,22748.0410476685,239.9837,29.93886,6,151.5,False
4,48487.5546875,21697.0000640869,236.9591,28.58926,8,170.5,False
5,48796.57421875,18770.0246434212,238.7724,32.65192,8,177.5,False
6,48851.2109375,20981.740145874,239.0561,32.8634,8,177.5,False
7,48931.63671875,18326.9564849854,239.4607,32.95944,8,177.5,False
8,48922.3203125,14370.9963897705,239.4118,32.91504,8,177.5,False
9,49745.51953125,31935.6903930664,243.8062,31.59766,7,193.5,False
10,49794.48046875,15969.658266449,244.0598,31.76163,7,193.5,False
11,49686.75390625,13466.3603713989,243.4903,31.2309,7,193.5,False
12,50098.06640625,20251.507818985,245.6267,32.7243,7,193.5,False
13,49668.96875,14731.8834716797,243.395,31.12677,7,193.5,False
14,49728.63671875,16768.3931118011,243.7148,31.4809,7,193.5,False
15,49771.5390625,18444.2521373749,243.938,31.63971,7,193.5,False
16,49685.76953125,28772.7865356445,243.4843,31.21411,7,193.5,False
17,49794.4140625,14569.1760986328,244.0589,31.7525,7,193.5,False
18,49670.5390625,19086.9541770935,243.4023,31.11957,7,193.5,False
19,50103.84765625,18973.8894844055,245.6576,32.76013,7,193.5,False
20,50088.0390625,19499.1868637085,245.5767,32.71985,7,193.5,False
21,49690.2890625,12815.8089202881,243.5095,31.25555,7,193.5,False
22,50093.5703125,16097.3982942581,245.6033,32.70728,7,193.5,False
23,50085.671875,19567.6330322266,245.5643,32.70947,7,193.5,False
24,50086.81640625,15379.9680633545,245.5691,32.69556,7,193.5,False
25,50063.40625,18133.1051261902,245.4489,32.62964,7,193.5,False
26,50083.4609375,17203.1962249756,245.5527,32.69836,7,193.5,False
27,49689.03515625,19939.4484207153,243.5025,31.24353,7,193.5,False
28,49652.15625,18064.5181907654,243.2983,30.9325,7,193.5,False
29,49799.63671875,21022.1623588562,244.0851,31.75793,7,193.5,False
30,49658.390625,15189.5603111267,243.3333,30.99194,7,193.5,False
