Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;263.505096435547;70.0441390760243;232.8639;29.5328;8;163.0;False
2;266.654357910156;120.768015432358;234.9775;28.16454;7;168.5;False
3;276.325805664063;120.422074961662;235.8388;28.3538;6;80.5;False
4;276.571472167969;138.520658349991;236.0899;28.41881;6;80.5;False
5;276.655212402344;85.1313377290964;236.1584;28.41745;6;80.5;False
6;276.66650390625;99.6374367117882;236.1541;28.39867;6;80.5;False
7;276.757598876953;122.76565387249;236.2585;28.43832;6;80.5;False
8;276.765747070313;122.940991830826;236.8596;27.41409;7;97.0;False
9;281.144378662109;105.872973716259;245.032;32.73026;7;108.5;False
10;281.387573242188;142.84756071344;245.3104;32.85974;7;108.5;False
11;281.384735107422;119.317819054425;245.3017;32.84869;7;108.5;False
12;284.249450683594;100.426915037632;247.1522;33.35083;6;98.5;False
13;282.738800048828;104.690653407574;245.4593;32.60681;6;98.5;False
14;284.416656494141;104.554194915295;247.3371;33.43018;6;98.5;False
15;284.153869628906;130.951736652851;247.0412;33.29614;6;98.5;False
16;282.955078125;85.6608402252197;247.0026;33.52637;7;108.5;False
17;284.011383056641;123.644857144356;246.9169;33.28796;6;98.5;False
18;284.461212158203;146.965816712379;247.3823;33.44415;6;98.5;False
19;283.628845214844;90.5611965656281;246.472;33.06927;6;98.5;False
20;282.900390625;155.430334854126;246.1235;32.65021;7;104.5;False
21;283.541198730469;126.067430534959;246.3691;33.01776;6;98.5;False
22;283.573120117188;118.951586914063;248.3301;33.3927;7;119.0;False
23;285.37646484375;111.178227769956;250.2206;34.0686;7;119.0;False
24;285.401428222656;117.185689544678;250.2357;34.05786;7;119.0;False
25;285.139465332031;109.126953754202;249.9635;33.96313;7;119.0;False
26;285.157531738281;98.2266021251678;249.9883;33.98047;7;119.0;False
27;283.597961425781;96.0919058680534;246.4341;33.0481;6;98.5;False
28;285.299987792969;65.0235103845596;250.1336;34.0271;7;119.0;False
29;284.376739501953;147.906650781631;247.2889;33.40393;6;98.5;False
30;285.242462158203;171.79760722518;250.0677;33.995;7;119.0;False
