Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,101730.6875,27522.1438865662,239.138,29.37388,8,126,False
2,101513.578125,27487.7300548553,238.6199,29.30401,8,126,False
3,101777.9375,40814.8151000977,239.2375,29.49121,8,126,False
4,102762.78125,33089.0482933044,241.544,31.52071,7,133.5,False
5,102894.9375,33345.835748291,241.7202,32.40999,7,133.5,False
6,102823.859375,31800.2364398956,241.6885,31.54669,7,133.5,False
7,102815.7421875,49398.9247045517,241.6719,31.52673,7,133.5,False
8,107279.484375,37084.5765091896,245.3671,34.28586,8,140.5,False
9,107312.6640625,33767.8391462326,245.4324,34.36841,8,140.5,False
10,107545.609375,43817.8449859619,245.9539,34.61371,8,140.5,False
11,107526.328125,18867.9943481445,245.9135,34.57916,8,140.5,False
12,107426.1484375,54705.3560432434,245.6909,34.4649,8,140.5,False
13,107616.0703125,16330.9836776733,246.1107,34.69244,8,140.5,False
14,107422.96875,37662.5030395508,245.6823,34.46948,8,140.5,False
15,107696.171875,31026.2363754272,246.293,34.76038,8,140.5,False
16,107247.4140625,31205.2822601318,245.2959,34.2486,8,140.5,False
17,107529.0859375,26811.9206756592,245.9191,34.58508,8,140.5,False
18,107618.4453125,30618.5390472412,246.1189,34.68011,8,140.5,False
19,107344.8203125,51710.0154262543,245.5174,34.33356,8,140.5,False
20,107423.7265625,32146.7989509583,245.6858,34.46057,8,140.5,False
21,107617.0234375,42436.8245056152,246.1124,34.69592,8,140.5,False
22,107805.2421875,61775.5127593994,246.535,34.88501,8,140.5,False
23,108860.6640625,36184.4953308105,248.9969,35.401,8,141,False
24,109126.1796875,31712.5820854187,249.5946,35.65515,8,141,False
25,108901.1328125,34493.0154478073,249.0848,35.45581,8,141,False
26,108948.484375,38277.3849105835,249.1928,35.49414,8,141,False
27,108903.90625,36677.0182434082,249.0924,35.45178,8,141,False
28,109053,33458.888079834,249.4299,35.58484,8,141,False
29,109336.6953125,47784.0923370361,250.0723,35.83569,8,141,False
30,109145.6171875,32668.9618489742,249.6433,35.64868,8,141,False
