Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,147719.59375,22685.4435058594,439.0993,119.6308,6,172,False
2,147694.140625,32268.6870391846,439.0732,119.4765,6,172,False
3,186701.203125,52147.5755950928,587.4392,66.20755,5,179.5,False
4,186834.984375,56819.8951538086,588.2645,64.95221,5,179.5,False
5,187356.328125,37479.0110107422,589.4527,66.68982,5,179.5,False
6,186677.765625,36769.2187866211,587.3998,66.08423,5,179.5,False
7,218135.46875,58740.3609893799,656,74.85651,4,183.5,True
8,218159.546875,40038.8660217285,656,75.10559,4,183.5,True
9,217964.21875,46312.8829559326,656,73.07294,4,183.5,True
10,218238.703125,46526.1284851074,656,75.92175,4,183.5,True
11,218151.015625,73620.0987823486,656,75.01733,4,183.5,True
12,218101.25,42162.206350708,656,74.50183,4,183.5,True
13,218147.9375,50438.1567382813,656,74.9856,4,183.5,True
14,218090.921875,55452.5186737061,656,74.39453,4,183.5,True
15,218101.640625,56079.0239105225,656,74.50586,4,183.5,True
16,218225.265625,58030.066784668,656,75.78345,4,183.5,True
17,217992.25,57513.608215332,656,73.36646,4,183.5,True
18,218149.5625,44395.4502716064,656,75.00232,4,183.5,True
19,218076.921875,48222.8241699219,656,74.24915,4,183.5,True
20,218420.671875,75854.870300293,656,77.78271,4,183.5,True
21,218502.921875,66295.2022460937,656,78.61731,4,183.5,True
22,218167.59375,47151.8817687988,656,75.18884,4,183.5,True
23,219137.1875,76369.0699310303,656,84.93774,4,183.5,True
24,218987.296875,56841.7664886475,656,83.46082,4,183.5,True
25,219008.703125,37683.4323608398,656,83.67236,4,183.5,True
26,218982.359375,35174.13331604,656,83.41211,4,183.5,True
27,218487.125,72065.7145263672,656,78.45728,4,183.5,True
28,218933.890625,45553.6639099121,656,82.93237,4,183.5,True
29,218899.96875,86787.1603912353,656,82.59595,4,183.5,True
30,219021.828125,41558.2414489746,656,83.802,4,183.5,True
