Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;352,184875488281;199,497849273682;228,6317;26,84188;6;143;False
2;375,240570068359;217,935734367371;247,1595;33,57983;7;115;False
3;376,489440917969;207,064473724365;248,7135;34,26452;7;115;False
4;376,462860107422;192,467874908447;248,6786;34,24649;7;115;False
5;377,205047607422;185,619219589233;249,5605;34,5899;7;115;False
6;377,148468017578;222,474343109131;249,5023;34,57916;7;115;False
7;377,114593505859;241,271477127075;249,4604;34,56064;7;115;False
8;377,073150634766;180,865805435181;249,4125;34,54358;7;115;False
9;377,172332763672;216,347939491272;249,5397;34,60605;7;115;False
10;377,164855957031;215,236491966248;249,5294;34,60004;7;115;False
11;377,211761474609;215,453422927856;238,5898;29,07031;8;147;False
12;377,38330078125;200,321020889282;238,7207;29,03839;8;147;False
13;377,290954589844;187,031969451904;249,6694;34,64185;7;115;False
14;377,154937744141;167,661531257629;249,5084;34,57941;7;115;False
15;379,794311523438;211,115934562683;241,8477;30,29834;8;130;False
16;380,046661376953;163,728221893311;242,1077;30,34064;8;130;False
17;379,994140625;246,80873374939;242,0553;30,33429;8;130;False
18;380,068237304688;185,338243484497;242,1279;30,34149;8;130;False
19;380,050262451172;197,26207447052;242,1094;30,33838;8;130;False
20;379,683227539063;161,377735710144;241,744;30,29468;8;130;False
21;379,996459960938;193,870792007446;242,053;30,32813;8;130;False
22;379,833251953125;226,854999351501;241,884;30,29956;8;130;False
23;386,216491699219;270,503051567078;258,5458;35,79199;7;132;False
24;386,264892578125;159,256687927246;258,5157;35,65857;7;132;False
25;386,274841308594;166,009525680542;258,5291;35,66614;7;132;False
26;386,267181396484;221,703332138062;258,509;35,64307;7;132;False
27;386,261535644531;224,797276878357;258,5039;35,64319;7;132;False
28;386,307495117188;235,29947013855;258,5845;35,71118;7;132;False
29;386,259643554688;199,090110397339;258,5177;35,6709;7;132;False
30;386,291412353516;142,504263496399;258,5403;35,65881;7;132;False
31;386,260925292969;165,814721870422;258,5051;35,64636;7;132;False
32;386,265502929688;223,712080764771;258,5137;35,65417;7;132;False
33;386,31494140625;217,400270271301;258,5805;35,69177;7;132;False
34;386,261077880859;232,466171646118;258,5075;35,65039;7;132;False
35;386,271057128906;181,892718696594;258,5212;35,65833;7;132;False
36;386,266235351563;195,286032104492;258,5137;35,65295;7;132;False
37;386,311401367188;183,686741065979;258,578;35,69324;7;132;False
38;386,260681152344;197,00209941864;258,514;35,6626;7;132;False
39;386,283477783203;256,539779090881;258,5423;35,67542;7;132;False
40;386,309173583984;230,656185340881;258,5835;35,70667;7;132;False
41;386,306762695313;227,618855857849;258,5785;35,70166;7;132;False
42;386,265228271484;192,919028663635;258,5252;35,67505;7;132;False
43;386,283660888672;179,458017730713;258,538;35,66748;7;132;False
44;386,265686035156;188,967963027954;258,5236;35,67139;7;132;False
45;386,311462402344;200,823096084595;258,5835;35,70288;7;132;False
46;386,268951416016;195,793899536133;258,5358;35,68774;7;132;False
47;386,301086425781;255,190584182739;258,5513;35,6626;7;132;False
48;386,262725830078;194,848878288269;258,5103;35,65259;7;132;False
49;386,293121337891;184,665693473816;258,5439;35,6626;7;132;False
50;386,266754150391;218,088113975525;258,5198;35,66284;7;132;False
