Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,87013.203125,13284.3046630859,228.047,27.87043,8,112.5,False
2,91684.2265625,37491.5978515625,239.2436,30.7691,8,113.5,False
3,94956.5,27040.4611491203,249.2299,34.64466,8,124.5,False
4,94954.0859375,35221.4052734375,249.2205,34.66295,8,124.5,False
5,94811.65625,27617.2761230469,248.8956,34.54379,8,124.5,False
6,94812.421875,27982.7733154297,248.8958,34.55307,8,124.5,False
7,94925.9296875,37483.3419921875,249.1584,34.62836,8,124.5,False
8,94930.5703125,15440.1955566406,249.1698,34.62787,8,124.5,False
9,94900.625,19299.9651245117,249.0955,34.6347,8,124.5,False
10,94924.890625,31496.663684082,249.1494,34.66272,8,124.5,False
11,94810.9921875,24179.016809082,248.8946,34.54102,8,124.5,False
12,94923.0390625,35725.3862060547,249.145,34.66199,8,124.5,False
13,94977.5078125,20935.2428222656,249.2032,35.0531,8,124.5,False
14,94813.34375,32193.4686096191,248.8964,34.56195,8,124.5,False
15,94920.734375,22188.771736145,249.1425,34.64532,8,124.5,False
16,94926.7578125,27197.9372909546,249.1584,34.63873,8,124.5,False
17,94811.140625,36233.1082519531,248.8932,34.55035,8,124.5,False
18,94812.7109375,28774.3610275269,248.8955,34.55853,8,124.5,False
19,94926.0078125,44854.2997772217,249.1581,34.6311,8,124.5,False
20,94933.140625,33255.1519287109,249.1718,34.65051,8,124.5,False
21,95023.6328125,20892.7571044922,249.3325,34.96582,8,124.5,False
22,94964.0390625,28626.7041015625,249.2423,34.67615,8,124.5,False
23,94810.328125,13866.8943847656,248.8917,34.54761,8,124.5,False
24,94812.125,17155.5854980469,248.8936,34.56091,8,124.5,False
25,97432.1015625,19464.018536377,246.5432,32.99927,7,87.5,False
26,97735.046875,29681.2636230469,247.2392,33.24084,7,87.5,False
27,98380.828125,40950.1135620117,248.7142,33.79614,7,87.5,False
28,98110.0625,18096.6399536133,248.096,33.5636,7,87.5,False
29,97744.265625,31013.0739257812,247.2604,33.24829,7,87.5,False
30,98378.203125,32939.9484863281,248.7081,33.79443,7,87.5,False
