Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;278.030548095703;69.7134320259094;240.4691;29.7962;7;133.5;False
2;278.760894775391;117.540612602234;241.1511;29.82108;7;133.5;False
3;282.4716796875;124.838306617737;240.5414;31.26586;7;188.5;False
4;283.975616455078;79.6443405151367;242.1314;30.4642;7;180.0;False
5;283.840393066406;158.404380464554;241.9679;30.40756;7;180.0;False
6;286.321350097656;107.279836177826;240.579;29.64941;6;214.0;False
7;286.081848144531;88.8692758560181;240.3216;29.59601;6;214.0;False
8;286.101806640625;119.212152957916;240.3334;29.58752;6;214.0;False
9;286.107818603516;109.502414178848;240.3336;29.58041;6;214.0;False
10;286.067626953125;121.276980781555;240.3102;29.59802;6;214.0;False
11;287.715545654297;146.688325023651;241.6633;29.95554;6;218.5;False
12;287.510467529297;100.237393093109;241.4125;29.86798;6;218.5;False
13;287.365020751953;115.509112548828;247.0;69.33;43402;5.0;False
14;287.399017333984;117.092940235138;247.7472;33.47656;5;174.5;False
15;287.613159179688;119.038553619385;241.5117;29.87598;6;218.5;False
16;287.564270019531;82.7396195411682;247.9364;33.53833;5;174.5;False
17;287.455078125;128.359128522873;241.3547;29.85779;6;218.5;False
18;287.533660888672;76.5067299842835;241.4566;29.89917;6;218.5;False
19;287.360443115234;85.85502605438231;247.7097;33.47321;5;174.5;False
20;287.600952148438;64.7534159183502;241.5259;29.91022;6;218.5;False
21;287.546356201172;150.353050279617;241.4579;29.88525;6;218.5;False
22;287.591583251953;126.804506015778;241.5097;29.89978;6;218.5;False
23;287.498291015625;97.3472650051117;241.4102;29.87988;6;218.5;False
24;287.50830078125;131.771298885345;241.4124;29.87048;6;218.5;False
25;287.541931152344;130.341901111603;241.4487;29.8783;6;218.5;False
26;287.517150878906;86.7736557483673;241.4456;29.90466;6;218.5;False
27;287.494079589844;116.050071763992;241.4059;29.87915;6;218.5;False
28;287.489624023438;144.535265922546;241.3967;29.87219;6;218.5;False
29;289.664428710938;99.3999320983887;246.5272;33.03589;7;207.5;False
30;289.447479248047;92.6110104084015;246.1942;32.82104;7;207.5;False
