Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,80986.8125,34637.9821121216,240.2842,27.70896,6,106.5,False
2,80977.625,31162.5089477539,240.1563,28.40961,6,106.5,False
3,81028.84375,32269.8765350342,240.3361,28.20988,6,106.5,False
4,81024.6875,30729.2477661133,240.3017,28.35892,6,106.5,False
5,80970.09375,34249.9609897614,240.1362,28.3965,6,106.5,False
6,82409.046875,25940.7843994141,244.2023,30.18134,6,107.5,False
7,82341.4453125,21318.069178772,244.0044,30.17944,6,107.5,False
8,82426.6953125,35193.1059875488,244.2166,30.38699,6,107.5,False
9,82342.296875,31917.2318328857,243.978,30.33807,6,107.5,False
10,82524.1015625,47790.5487792969,244.5359,30.20261,6,107.5,False
11,84708.640625,31915.3034133911,252.3126,34.58813,6,123,False
12,84747.5234375,45651.5241210938,252.4199,34.61847,6,123,False
13,84736.5078125,24650.284777832,252.3928,34.5957,6,123,False
14,84731.171875,34843.3335601807,252.3759,34.60083,6,123,False
15,84735.0859375,47488.1750610352,252.3894,34.59277,6,123,False
16,84739.296875,28255.7859863281,252.3978,34.60938,6,123,False
17,84731.7109375,44368.5108764648,252.3778,34.59967,6,123,False
18,84767.6640625,30437.0927734375,252.4722,34.64783,6,123,False
19,84751.4765625,18565.8927856445,252.4297,34.62604,6,123,False
20,84736.1171875,31297.5045898437,252.3922,34.59363,6,123,False
21,84731.453125,21467.7280849457,252.3788,34.59216,6,123,False
22,84781.046875,26572.6054931641,252.5091,34.65857,6,123,False
23,84733,21730.7381225586,252.382,34.59778,6,123,False
24,84765.6640625,39194.4026123047,252.4719,34.62439,6,123,False
25,84816.6796875,37724.9856079102,252.4729,34.63293,5,122,False
26,84790.7734375,30844.7833740234,252.5366,34.66333,6,123,False
27,84790.09375,19449.1257865906,252.405,34.58911,5,122,False
28,84835.6796875,34186.8614990234,252.5243,34.65198,5,122,False
29,84835.0703125,28927.3687133789,252.5221,34.65369,5,122,False
30,84752.8046875,31353.4351013184,252.2996,34.57031,5,122,False
