Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1086.26025390625;458.450635719299;242.0524;29.91227;7;182.5;False
2;1179.64013671875;574.836159706116;225.316;24.3763;6;164.0;False
3;1176.85070800781;431.496609687805;215.9232;23.19442;6;180.0;False
4;1187.52124023438;594.265873336792;225.8485;24.5042;8;160.0;False
5;1177.93872070313;424.707018280029;223.9165;24.49792;8;160.0;False
6;1139.0634765625;581.632042694092;215.8425;24.16452;6;180.0;False
7;1169.45849609375;291.85101108551;216.1431;23.40945;6;180.0;False
8;1175.19201660156;517.880730247498;216.0713;23.25546;6;180.0;False
9;1178.69067382813;452.539708900452;215.6031;23.10641;6;180.0;False
10;1167.85498046875;390.698188209534;215.6453;23.38354;6;180.0;False
11;1170.45861816406;411.779913711548;215.3745;23.28162;6;180.0;False
12;1168.45886230469;490.000445365906;216.9241;23.66785;7;130.5;False
13;1155.34167480469;495.333513259888;216.8599;24.00269;7;130.5;False
14;1170.76928710938;641.401203536987;217.6091;23.70056;7;147.5;False
15;1191.92907714844;441.692291259766;218.5407;23.28894;7;147.5;False
16;1179.6240234375;728.092447280884;218.2278;23.55664;7;147.5;False
17;1171.61352539063;434.542260551453;223.8508;24.52454;7;147.5;False
18;1186.34558105469;540.368880462647;218.1882;23.38171;7;163.0;False
19;1178.70043945313;485.869128036499;217.4162;23.47186;7;163.0;False
20;1168.28869628906;650.831818771362;227.4287;25.10638;7;173.5;False
21;1165.73681640625;458.35539226532;218.7495;23.98602;7;173.5;False
22;1165.92846679688;488.879545211792;225.8317;24.95111;7;173.5;False
23;1168.86157226563;382.915866851807;217.4832;23.73291;7;173.5;False
24;1169.98669433594;627.961917495728;215.8083;23.47839;7;173.5;False
25;1167.78112792969;424.586170387268;218.7522;23.93274;7;173.5;False
26;1169.13049316406;469.290579986572;215.9532;23.51978;7;173.5;False
27;1156.32397460938;568.666738510132;218.9528;24.26416;7;207.5;False
28;1181.85729980469;565.400053787231;217.3496;23.3833;7;173.5;False
29;1170.94177246094;538.215975379944;217.4029;23.66833;7;173.5;False
30;1159.02136230469;441.962840461731;220.2883;24.37537;7;207.5;False
