Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,11918.6201171875,4627.79401313067,237.5508,28.82459,7,186.5,False
2,11968.533203125,4197.80815945268,238.5588,29.29557,7,163.5,False
3,11974.1708984375,6487.52963892221,238.6718,29.31882,7,163.5,False
4,11974.267578125,2531.06726727486,238.6726,29.27905,7,163.5,False
5,11980.3271484375,5214.86905503273,238.7967,29.40025,6,162.5,False
6,12066.4541015625,4512.84453482628,240.5801,32.03407,7,186.5,False
7,12069.8232421875,3582.65159796476,240.6491,32.11478,7,186.5,False
8,12372.5673828125,4949.72866247892,246.7193,33.61771,6,128.5,False
9,12068.6552734375,7636.36844787598,240.6258,32.11108,7,186.5,False
10,11975.435546875,5207.47792974711,238.6923,29.14731,7,157.5,False
11,12034.8994140625,4792.04411443472,239.9506,32.01825,7,186.5,False
12,12016.5908203125,6990.32524096966,239.584,31.95282,7,186.5,False
13,12054.955078125,4817.81603021622,240.3521,32.09088,7,186.5,False
14,12050.31640625,3913.27788668871,240.2564,31.94928,7,186.5,False
15,12130.6640625,5812.15934464335,241.8099,30.01086,7,171,False
16,12135.765625,6554.68072576523,241.9094,29.93042,7,171,False
17,12197.3671875,6851.69780145288,243.1614,30.85278,7,156,False
18,12207.12109375,4245.85567464828,243.3571,30.90002,7,156,False
19,12287.3935546875,5483.49578142166,245.0001,32.67609,7,156,False
20,12196.3076171875,4039.20982437134,243.1408,30.87091,7,156,False
21,12475.685546875,5700.84295771122,248.7916,34.36914,7,149,False
22,12499.01953125,4009.48384982944,249.2596,34.49402,7,149,False
23,12395.841796875,4538.95472105741,247.1844,33.66431,7,149,False
24,12499.048828125,7261.73016791344,249.2601,34.48901,7,149,False
25,12590.7431640625,4563.32439088225,251.1009,35.08398,8,153,False
26,12543.1171875,4529.51416512728,250.1451,34.78955,8,153,False
27,12591.61328125,7162.97646636963,251.1182,35.08081,8,153,False
28,12546.8740234375,6251.82600469589,250.2195,34.76404,8,153,False
29,12543.5361328125,5001.95957465172,250.153,34.76733,8,153,False
30,12545.1337890625,4293.69896957874,250.1859,34.81702,8,153,False
31,12646.7197265625,5067.40910141468,252.2148,34.96216,8,162,False
32,12820.880859375,4792.66163269281,255.7234,36.75037,8,162,False
33,12816.712890625,5088.4488932848,255.6466,37.08862,7,195,False
34,12821.455078125,5176.16028994322,255.7064,35.29773,8,162,False
35,12816.521484375,5008.4993209362,255.6183,35.81018,7,195,False
36,12821.111328125,5340.67573246956,255.7044,35.53662,8,162,False
37,12817.6865234375,4860.73965544403,255.6422,35.84045,7,195,False
38,12677.66015625,3547.18037929535,252.8392,35.32446,7,195,False
39,12819.279296875,5554.64359489977,255.6588,35.09143,8,205,False
40,12816.453125,5477.44797974229,255.6093,35.42773,7,195,False
41,12818.453125,3439.49786323309,255.664,36.17322,7,195,False
42,12818.650390625,4919.11041617393,255.6508,35.31128,8,205,False
43,12818.2060546875,2541.09100466669,255.6389,35.1626,8,205,False
44,12818.958984375,3929.99087362289,255.6631,35.61841,8,205,False
45,12817.01953125,5903.02088689804,255.6172,35.25854,8,205,False
46,12818.208984375,3251.26643943787,255.6414,35.28491,8,205,False
47,12820.103515625,7142.78513697386,255.679,35.27539,8,205,False
48,12818.7880859375,4339.99389248788,255.6581,35.53955,8,205,False
49,12818.8037109375,4358.8860419631,255.6532,35.28125,8,205,False
50,12818.6962890625,3008.67332093418,255.6507,35.26416,8,205,False
51,12819.6748046875,4634.53502334356,255.6685,35.17651,8,205,False
52,12819.4775390625,4489.90528877974,255.6669,35.29443,8,205,False
53,12819.0146484375,3956.52153253555,255.6574,35.27783,8,205,False
