Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,48957.359375,14408.0407028198,239.714,28.99591,7,107.5,False
2,50233.1171875,13204.0196655273,246.3271,33.22278,7,107.5,False
3,49358.57421875,21114.2256896973,241.7119,29.13399,7,99.5,False
4,49378.0625,19972.8647644043,241.8114,29.17111,7,99.5,False
5,50389.16015625,32531.2919181824,247.0938,33.10599,7,136,False
6,50462.203125,25816.0394836426,247.468,33.3024,7,136,False
7,51417.5546875,16962.7997529507,251.8986,34.81613,8,106.5,False
8,51317.40625,27045.2832702637,251.3916,34.63727,8,106.5,False
9,51309.8125,27328.6812255859,251.3524,34.61136,8,106.5,False
10,51442.86328125,21831.182774353,252.0264,34.85571,8,106.5,False
11,51305.5,20468.3554344177,251.3309,34.60938,8,106.5,False
12,51311.59765625,24532.0235107422,251.3618,34.62024,8,106.5,False
13,50907.625,19146.3602355957,249.3194,33.95526,8,106.5,False
14,51392.62109375,21275.7159759521,251.7704,34.73663,8,106.5,False
15,51307.62109375,30403.8832824707,251.3419,34.61731,8,106.5,False
16,51314.0625,32990.7571792603,251.3733,34.60822,8,106.5,False
17,51313.1796875,25794.7482574463,251.3703,34.63116,8,106.5,False
18,51323.75,26006.5870742798,251.423,34.63635,8,106.5,False
19,51307.3828125,27225.8283187866,251.3407,34.61609,8,106.5,False
20,51298.48046875,21576.9122406006,251.2955,34.59949,8,106.5,False
21,51306.078125,35169.3421340942,251.335,34.63025,8,106.5,False
22,50892.6953125,27890.4638427734,249.2425,33.90771,8,106.5,False
23,51311.7109375,19749.5425093651,251.3618,34.61096,8,106.5,False
24,51306.31640625,23669.5054710388,251.3357,34.62134,8,106.5,False
25,51462.98046875,24041.0464530945,252.1278,34.88452,8,106.5,False
26,51313.39453125,21243.7030914307,251.3708,34.62146,8,106.5,False
27,51322.00390625,26221.5725372314,251.4144,34.63794,8,106.5,False
28,51315.63671875,16124.027520752,251.3829,34.63977,8,106.5,False
29,51393.609375,18492.3587089539,251.7753,34.73779,8,106.5,False
30,51303.89453125,21213.7250335693,251.3241,34.62964,8,106.5,False
