Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,41184.9296875,16896.1531494141,220.8834,42.77269,8,93.5,False
2,41792.79296875,6654.49749755859,232.5774,28.91985,8,114.5,False
3,42343.09765625,10774.3351318359,232.2212,38.08469,8,108,False
4,44031.57421875,5935.29520874023,238.0381,42.295,8,102.5,False
5,44043.94921875,12353.4479003906,238.1292,42.08856,8,102.5,False
6,60042.40625,14868.5831787109,234.7808,27.66833,7,141,False
7,60097.921875,6436.94528808594,235.0495,27.74551,7,141,False
8,60191.828125,2588.60823974609,235.5033,27.90634,7,141,False
9,60586.74609375,6265.20708007812,237.4185,28.23611,7,141,False
10,60191.33984375,11360.7968261719,235.5008,27.91074,7,141,False
11,60226.74609375,7582.88037109375,235.6733,27.90674,7,141,False
12,60570.65625,7359.89018554687,237.3404,28.22357,7,141,False
13,60107.71875,5110.51252441406,235.0949,27.85474,7,141,False
14,60258.359375,7386.44849853516,235.8252,27.99255,7,141,False
15,60152.1640625,9139.93579101563,235.3097,27.92365,7,141,False
16,60125.84375,16269.0551025391,235.1835,27.83905,7,141,False
17,60165.71875,6452.59064941406,235.3769,27.87341,7,141,False
18,60567.15625,8505.85122070313,237.3241,28.19354,7,141,False
19,60537.05859375,11855.7911529541,237.1779,28.17957,7,141,False
20,60585.84375,10141.596484375,237.4137,28.24957,7,141,False
21,60182.52734375,9401.26931152344,235.4585,27.88171,7,141,False
22,60580.55859375,7873.07172851563,237.3884,28.23145,7,141,False
23,60298.7734375,7506.51640625,236.0221,27.98755,7,141,False
24,60054.77734375,9565.74147949219,234.8379,27.81995,7,141,False
25,60120.39453125,7950.93845214844,235.1575,27.81445,7,141,False
26,60123.359375,7455.28662109375,235.1722,27.80237,7,141,False
27,60181.4921875,11332.8892578125,235.4532,27.89441,7,141,False
28,60182.49609375,10757.6968994141,235.4584,27.88147,7,141,False
29,60089.546875,8437.40583496094,235.0067,27.83984,7,141,False
30,60175.40234375,13153.3983886719,235.4238,27.8844,7,141,False
