Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,172618.203125,46485.1812744141,549.203,69.96482,8,147.5,False
2,138305.390625,40996.0393615723,439.3163,49.06193,8,144,False
3,138238.8125,44447.8495788574,439.0663,49.30573,8,144,False
4,139450.9375,42974.3588500977,442.8789,53.70682,7,110.5,False
5,140097.484375,56375.5452148437,442.7726,67.16299,7,110.5,False
6,140586.40625,50870.8853485107,443.5209,71.79495,7,110.5,False
7,160828.578125,50151.8960449219,511.8543,60.55765,8,102,False
8,160795.34375,46041.4034912109,511.7886,60.27405,8,102,False
9,195773.765625,50512.8399597168,623.1573,84.04999,8,142,False
10,183846.484375,51619.4977783203,584.9804,77.32391,8,142,False
11,184074.015625,40682.0036804199,585.0009,81.24969,8,142,False
12,184024.984375,38583.5709686279,585.0395,80.18573,8,142,False
13,184063.203125,40964.2493041992,585.0023,81.05371,8,142,False
14,185555.171875,77620.3567016602,590.5743,79.93713,7,203.5,False
15,195486.96875,47040.0698577881,622.0464,87.13757,7,203.5,False
16,185293.140625,46572.2056060791,589.299,82.10681,7,203.5,False
17,215505.78125,49337.0670715332,656,80.47205,8,200,True
18,215372.234375,47671.6129516602,656,78.00354,8,174.5,True
19,215440.59375,59252.4324035645,656,79.27441,8,174.5,True
20,215658.6875,54692.4569763184,656,83.23145,8,179,True
21,215732.28125,42570.3993041992,656,84.53748,8,179,True
22,216155.234375,71289.1746337891,656,91.8175,8,179,True
23,215875.234375,60175.8377746582,656,87.03796,8,179,True
24,215994.125,56893.3014434814,656,89.08508,8,179,True
25,161663.5,53575.5752807617,513.9765,64.48657,8,234,False
26,216085.3125,48532.3893249512,656,90.63721,8,179,True
27,215923.234375,62479.5354980469,656,87.86768,8,179,True
28,151114.09375,48617.7711181641,479.0363,65.27148,8,186.5,False
29,173312.96875,45419.7513671875,551.6686,71.43896,7,171,False
30,183225.875,40097.4527526855,584.054,70.98975,8,204.5,False
