Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,78366.140625,5468.57294921875,222.1015,53.07231,7,99.5,False
2,81056.7734375,10374.845703125,225.9505,51.63306,7,93,False
3,82226.1875,20133.0188964844,240.7097,33.53211,6,108,False
4,82122.53125,31270.7404296875,240.5803,32.84515,6,108,False
5,81056.46875,12952.3556640625,225.9951,51.47966,7,93,False
6,82161.984375,20995.0092773438,240.6356,33.07605,6,108,False
7,86594.0625,41294.5370117187,237.6942,28.95386,6,78.5,False
8,87022.78125,14303.0656738281,238.7227,29.05045,6,78.5,False
9,87079.3515625,10198.1779785156,238.8354,29.24652,6,78.5,False
