Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,10386.6162109375,3657.16950073242,333.3982,40.86909,6,106.5,False
2,10447.166015625,3064.61241531372,333.3379,41.33965,6,106.5,False
3,10952.7578125,3351.15191650391,304.7303,47.63123,8,121,False
4,10848.1572265625,3446.23257598877,304.7928,46.85851,8,121,False
5,17211.4140625,4898.36355133057,366.5174,86.23479,8,186,False
6,29248.208984375,5479.36001586914,656,77.44073,8,225,True
7,29421.50390625,5391.09777984619,656,78.68536,8,225,True
8,29268.505859375,5971.27264099121,656,77.58667,8,225,True
9,29115.576171875,6095.89622344971,656,76.48602,8,225,True
10,29385.087890625,5447.16777038574,656,78.42407,8,225,True
11,29351.19921875,4987.91615142822,656,78.18079,8,225,True
12,29268.150390625,4027.53612823486,656,77.58411,8,225,True
13,29242.310546875,5585.97678451538,656,77.39832,8,225,True
14,29096.42578125,5057.72233581543,656,76.34802,8,225,True
15,29069.384765625,5036.66492614746,656,76.15308,8,225,True
16,29121.396484375,4934.28264389038,656,76.52795,8,225,True
17,29242.853515625,5177.31465530396,656,77.40222,8,225,True
18,29498.880859375,5320.01737976074,656,79.24011,8,225,True
19,29353.986328125,4136.26756134033,656,78.20081,8,225,True
20,28961.05859375,5714.80701293945,656,75.37134,8,225,True
21,29432.1328125,5375.68896789551,656,78.7616,8,225,True
22,29361.24609375,4095.85489807129,656,78.25293,8,225,True
23,29185.388671875,4771.30855331421,656,76.98877,8,225,True
24,29506.4453125,6249.65619812012,656,79.29431,8,225,True
25,29210.6796875,6229.16692657471,656,77.17078,8,225,True
26,29389.306640625,7262.77801513672,656,78.45435,8,225,True
27,29062.78125,7777.0005279541,656,76.10547,8,225,True
28,29451.111328125,7082.22560577393,656,78.89771,8,225,True
29,29172.8046875,3926.09098358154,656,76.89819,8,225,True
30,29479.52734375,8195.52194366455,656,79.33789,7,192,True
