Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;197.050048828125;32.4079294204712;235.6274;28.65045;7;126.5;False
2;193.236877441406;32.311863899231;231.885;28.27656;7;126.5;False
3;204.169464111328;53.4621850967407;245.2779;32.14437;7;128.0;False
4;204.885360717773;22.2421442985535;238.3284;28.82198;6;116.5;False
5;205.159286499023;32.2603403091431;238.6272;28.88712;6;116.5;False
6;204.841857910156;49.5966541290283;238.2775;28.80722;6;116.5;False
7;204.854080200195;92.1466416358948;238.2922;28.81186;6;116.5;False
8;204.94953918457;76.9000593185425;238.4047;28.84534;6;116.5;False
9;204.87727355957;1.97526321411133;238.3263;28.82861;6;116.5;False
10;205.210113525391;97.1247472763062;247.3936;33.63388;7;128.5;False
11;216.884078979492;12.5202136993408;242.1504;30.28937;8;98.5;False
12;216.8037109375;26.2103534698486;242.0658;30.2735;8;98.5;False
13;216.779281616211;76.0438806533814;242.0269;30.25031;8;98.5;False
14;216.904434204102;40.5300260543823;242.1631;30.28131;8;98.5;False
15;216.807983398438;7.86008768081665;242.0634;30.26477;8;98.5;False
16;216.99299621582;48.9654315948486;242.2743;30.32379;8;98.5;False
17;216.798309326172;38.4244510650635;242.0644;30.27838;8;98.5;False
18;216.894958496094;61.1014242172241;242.1673;30.29907;8;98.5;False
19;216.82209777832;34.0345352172852;242.4313;30.7644;8;98.5;False
20;216.737609863281;55.9275545120239;242.0014;30.26764;8;98.5;False
21;216.877716064453;20.8625162124634;242.1493;30.2959;8;98.5;False
22;216.90299987793;71.2246545791626;242.171;30.29407;8;98.5;False
23;216.735580444336;8.90904426574707;241.9729;30.23071;8;98.5;False
24;216.859771728516;1.73687591552734;242.1082;30.2616;8;98.5;False
25;216.763687133789;41.0544305801392;242.0209;30.26172;8;98.5;False
26;216.806884765625;59.9163330078125;242.0616;30.26367;8;98.5;False
27;222.743911743164;47.3391792297363;252.3505;35.38708;8;102.0;False
28;221.728317260742;56.6879422187805;251.1949;34.99597;8;102.0;False
29;1313.09362792969;84.3103982925415;360.0;45.77515;8;141.0;True
30;1312.01086425781;59.4807092666626;360.0;47.97681;8;141.0;True
