Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,41705.890625,12158.8441894531,237.0665,29.72947,8,129,False
2,41911.0703125,6540.88083496094,228.941,25.17017,8,102,False
3,57690.25390625,16178.1919921875,223.3022,24.99718,8,140,False
4,57676.171875,12142.5,223.2346,25.04539,8,140,False
5,57679.828125,11795.7479248047,223.254,25.14902,8,140,False
6,57664.984375,7685.04504394531,223.1789,24.96677,8,140,False
7,57666.28515625,15955.665234375,223.1875,25.10004,8,140,False
8,57675.765625,11264.7435302734,223.2331,25.07437,8,140,False
9,57668.30078125,16854.3202148437,223.1977,25.12646,8,140,False
10,57678.46875,11205.3439300537,223.2464,25.08554,8,140,False
11,57662.60546875,10407.9588378906,223.1697,25.10806,8,140,False
12,57676.4375,10873.0916748047,223.2374,25.14349,8,140,False
13,58933.79296875,20146.1415527344,233.5968,30.54834,5,142,False
14,58681.69140625,17069.3100097656,232.4116,29.75494,5,142,False
15,58048.45703125,9490.48263549805,230.1324,27.84637,6,141,False
16,58724.21875,11518.9386535645,232.6024,30.06433,5,142,False
17,59118.1640625,15368.6152954102,234.4919,30.62604,5,142,False
18,58630.44140625,10780.3134277344,232.1512,29.94989,5,142,False
19,58367.65234375,15791.6622680664,230.8722,29.8999,5,142,False
20,58062.41015625,8765.66323547363,230.2007,27.8327,6,141,False
21,63311.62109375,27354.0804931641,250.6851,34.48175,7,140,False
22,62840.65234375,7111.38646240234,248.4545,33.63428,7,140,False
23,63373.78515625,9007.72087402344,250.9835,34.54626,7,140,False
24,63371.07421875,12379.6882446289,250.9716,34.53076,7,140,False
25,63382.140625,9921.90952148437,251.0249,34.54004,7,140,False
26,63360.6640625,11771.3090576172,250.9221,34.51453,7,140,False
27,63366.16796875,9597.65234375,250.9487,34.51892,7,140,False
28,63369.01171875,6997.54057617187,250.9605,34.54211,7,140,False
29,63362.9296875,13399.3670166016,250.9323,34.52539,7,140,False
30,63405.484375,15780.385546875,251.1361,34.57471,7,140,False
