Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,41158.92578125,8940.69379882812,226.5761,41.38261,8,128.5,False
2,42522.890625,9689.24367675781,230.8691,27.40211,7,137.5,False
3,43057.796875,17772.9131835938,236.2883,28.14457,7,132,False
4,43106.453125,13430.103515625,236.6027,28.13168,7,132,False
5,43086.515625,12953.6528564453,236.4617,28.07452,7,132,False
6,43081.92578125,11118.9440673828,236.4342,28.08673,7,132,False
7,43111.80078125,17173.3772460938,236.6315,28.10071,7,132,False
8,43107.1015625,15529.2687988281,233.8878,27.55081,7,140,False
9,43161.8828125,7842.76538085938,234.2807,27.7327,7,140,False
10,43085.28125,22176.1484985352,236.4577,28.09531,7,132,False
11,43155.2578125,8327.4685546875,237.3847,28.00806,7,130.5,False
12,43211.73828125,15987.3103759766,237.7574,28.03339,7,130.5,False
13,43144.3828125,16166.9423339844,237.3044,27.96014,7,130.5,False
14,44556.88671875,15086.4330566406,244.7757,31.97491,7,138,False
15,44562.484375,17133.5457275391,244.813,31.97906,7,138,False
16,44557.09765625,8902.81810302734,244.7743,31.95685,7,138,False
17,44606.12109375,13806.7379760742,245.1221,32.13409,7,138,False
18,44575.3828125,16921.7664794922,244.9086,32.05243,7,138,False
19,44751.98046875,15264.2787841797,250.4881,34.37158,6,132,False
20,44779.42578125,12266.0234863281,250.669,34.38184,6,132,False
21,44779.984375,10454.2413085938,250.6735,34.38794,6,132,False
22,44691.59375,10997.3333496094,250.0692,34.19946,6,132,False
23,44689.31640625,19637.7708129883,250.0497,34.16602,6,132,False
24,44673.03515625,15234.999230957,249.9393,34.13843,6,132,False
25,44692.5078125,13815.8489868164,250.0761,34.20581,6,132,False
26,44693.16015625,17651.9377929688,250.0784,34.19202,6,132,False
27,44779.3203125,8587.95737304687,250.6682,34.38123,6,132,False
28,44695.859375,9561.36896972656,250.098,34.20569,6,132,False
29,45369.28515625,16328.9076904297,250.4361,34.35974,7,138,False
30,45227.10546875,14041.6349853516,249.4592,34.02185,7,138,False
