Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,94761.171875,14570.7266601563,250.5032,34.01595,7,130.5,False
2,92299.984375,23855.7407470703,241.5498,29.67294,8,117,False
3,92437.96875,47666.5430541992,241.8826,29.68987,8,117,False
4,92474.296875,28257.4544433594,241.9668,29.72061,8,117,False
5,92270.953125,26644.3447053194,241.4849,29.62988,8,117,False
6,92443.96875,24824.9600219727,241.8969,29.69244,8,117,False
7,111796.375,56764.4712890625,225.0226,38.36221,7,140.5,False
8,172717.421875,33655.04556427,360,51.16556,7,113.5,True
9,128105.2265625,36188.3773208618,254.3106,35.10187,7,113.5,True
10,172747.546875,25430.6067138672,360,51.46048,7,113.5,True
11,172829.03125,25625.464453125,360,52.25049,7,113.5,True
12,172721.296875,40826.1985351562,360,51.20355,7,113.5,True
13,172724.265625,39398.6824798584,360,51.2326,7,113.5,True
14,172696.296875,38717.5348266602,360,50.95776,7,113.5,True
15,172718.796875,38077.8170898438,360,51.17902,7,113.5,True
16,172691.1875,26443.3589355469,360,50.90729,7,113.5,True
17,172666.296875,26193.8832397461,360,50.66132,7,113.5,True
18,172723.25,39441.7403564453,360,51.22272,7,113.5,True
19,172704.328125,32286.7447998047,360,51.03674,7,113.5,True
20,172750.90625,30253.3958374023,360,51.49323,7,113.5,True
21,172689.078125,33946.0728515625,360,50.88647,7,113.5,True
22,172679.203125,21564.0824951172,360,50.78906,7,113.5,True
23,172712.953125,37830.4437866211,360,51.12158,7,113.5,True
24,172748.265625,28902.4436340332,360,51.46741,7,113.5,True
25,172741.015625,43945.0427307129,360,51.39661,7,113.5,True
26,172682.0625,41867.2535644531,360,50.81726,7,113.5,True
27,172739.609375,40709.004296875,360,51.38293,7,113.5,True
28,172721.609375,31265.5199188232,360,51.20654,7,113.5,True
29,172682.46875,24713.8552001953,360,50.82129,7,113.5,True
30,172702.453125,30975.5236816406,360,51.01843,7,113.5,True
