Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,73737.90625,4568.07954101563,227.1614,42.75978,7,127,False
2,83510.328125,18916.7788330078,225.5029,53.57292,8,81,False
3,83491.828125,23930.7936035156,225.4794,53.49988,8,81,False
4,83566.515625,30970.0920898438,225.6765,53.45515,8,81,False
5,89286.5859375,26610.287109375,244.8583,32.94762,7,81,False
6,88096.2890625,29872.825390625,242.1732,31.67242,7,81,False
7,87868.46875,29134.4068847656,241.6662,31.37265,7,81,False
8,88033,9752.65908203125,242.0349,31.57318,7,81,False
9,87841.265625,31584.0632873535,241.6067,31.33002,7,81,False
10,88200.375,36616.97421875,242.4046,31.80817,7,81,False
11,87987.3125,43114.0400878906,241.93,31.53394,7,81,False
12,88015.84375,32032.9006835938,241.9936,31.57074,7,81,False
13,88020.78125,35476.9505371094,242.0078,31.55688,7,81,False
14,88053.3828125,28326.3426757812,242.0785,31.61108,7,81,False
15,88067.0234375,30660.8549316406,242.1108,31.61682,7,81,False
16,88048.21875,47545.58046875,242.0657,31.61285,7,81,False
17,88049.3515625,33330.2646484375,242.0677,31.61768,7,81,False
18,89298.703125,9910.26722412109,244.8866,32.95502,7,81,False
19,89058.90625,33060.0750976562,247.0438,32.58655,7,86.5,False
20,89021.328125,16713.3870605469,246.9588,32.5473,7,86.5,False
21,88014.4609375,37862.30546875,244.7782,30.82727,7,86.5,False
22,88989.2578125,21126.5764648438,246.8851,32.52136,7,86.5,False
23,87883.3828125,16953.9783691406,246.2285,31.98279,8,90.5,False
24,87916.140625,8393.9533203125,246.2916,32.08582,8,90.5,False
25,87565.2421875,11424.7760131836,243.7779,30.17944,7,86.5,False
26,89121.1953125,13065.6556640625,249.0156,33.3374,8,90.5,False
27,88997.6484375,29823.6007446289,246.9049,32.52527,7,86.5,False
28,88569.359375,29238.8624023438,245.9544,31.96191,7,86.5,False
29,88536.25,12742.086328125,245.874,31.96057,7,86.5,False
30,89370.8515625,12055.4321289063,249.5796,33.58923,8,90.5,False
