Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,73684.078125,26060.2816810608,236.0029,28.55223,8,117,False
2,73888.0546875,28035.5594116211,242.1841,29.94918,8,153,False
3,74076.9296875,34029.4849365234,242.7571,30.02423,8,153,False
4,74079.4765625,22028.8092041016,242.766,30.03264,8,153,False
5,73969.421875,9796.48034057617,242.4294,29.97165,8,153,False
6,73868.1875,29555.4071624756,242.1161,29.89316,8,153,False
7,74299.7734375,31096.0350463867,242.9034,30.04987,7,149.5,False
8,74686.9375,17198.3741943359,244.7566,31.73999,7,152.5,False
9,77086.0859375,23512.2469482422,247.4453,36.54663,7,118.5,False
10,76898.7265625,28486.7685791016,246.8441,36.16296,7,118.5,False
11,77092.6640625,26746.467175293,247.4663,36.5592,7,118.5,False
12,77100.0546875,36518.1768188477,247.4951,36.62024,7,118.5,False
13,77012.6171875,40502.5273803711,247.2187,36.47809,7,118.5,False
14,77009.9765625,26690.3574920654,247.1606,36.02948,7,118.5,False
15,76832.2578125,23360.8138122559,246.6491,36.19092,7,118.5,False
16,77053.984375,43895.5267211914,246.5063,32.71649,6,116,False
17,80209.25,27126.8762084961,252.6748,34.81433,7,92.5,False
18,80219.625,23313.213104248,252.706,34.81665,7,92.5,False
19,80207.4375,20810.5669189453,252.6716,34.83173,7,92.5,False
20,80209.0625,26793.9953613281,252.6761,34.82928,7,92.5,False
21,80208.71875,36546.7319595337,252.6739,34.81946,7,92.5,False
22,80206.4453125,37265.8633300781,252.6676,34.823,7,92.5,False
23,80205.921875,27995.2797241211,252.6646,34.81201,7,92.5,False
24,80184.6640625,31258.5166748047,252.5999,34.80029,7,92.5,False
25,80197.3203125,24450.0368438721,252.6392,34.81335,7,92.5,False
26,80177.2734375,29607.4655456543,252.5765,34.78955,7,92.5,False
27,80184.0625,29669.1326690674,252.5957,34.78125,7,92.5,False
28,80218.796875,33047.6592346191,252.705,34.82849,7,92.5,False
29,80208.4140625,25739.2153421402,252.6732,34.82117,7,92.5,False
30,80224.4375,17301.1513549805,252.7262,34.8634,7,92.5,False
