Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,42198.21484375,4723.34020996094,222.6923,25.99674,8,79.5,False
2,59946.9921875,10490.5510742188,234.3757,29.51254,8,139.5,False
3,60170.73046875,8074.35651855469,235.4609,29.63493,8,139.5,False
4,59953.3203125,11968.4259277344,234.407,29.50272,8,139.5,False
5,59954.23046875,20314.913104248,234.4101,29.53021,8,139.5,False
6,60132.453125,19360.9831787109,235.2732,29.65646,8,139.5,False
7,60169.28515625,3611.949609375,235.4521,29.672,8,139.5,False
8,60738.984375,13920.4536560059,242.66,29.85989,6,142.5,False
9,60706.07421875,13554.4364257813,242.5008,29.83002,6,142.5,False
10,60659.015625,15622.035546875,242.2761,29.72043,6,142.5,False
11,60659.77734375,10981.4155792236,242.2798,29.72064,6,142.5,False
12,60676.95703125,12791.6455566406,242.3618,29.76093,6,142.5,False
13,60668.640625,6278.68996582031,242.3216,29.75385,6,142.5,False
14,60685.1875,12138.4110473633,242.4019,29.76288,6,142.5,False
15,60648.94140625,9820.85609130859,242.2275,29.70721,6,142.5,False
16,60636.2421875,10638.3283935547,242.1657,29.70502,6,142.5,False
17,60681.46484375,6897.79440917969,242.3824,29.79333,6,142.5,False
18,60660.75,15639.0581787109,242.2842,29.7276,6,142.5,False
19,60657.63671875,10154.8306518555,242.2694,29.71997,6,142.5,False
20,60657.18359375,9349.03251953125,242.267,29.72394,6,142.5,False
21,60659.64453125,9728.0947265625,242.2788,29.72906,6,142.5,False
22,60658.78515625,2230.74814453125,242.2751,29.71704,6,142.5,False
23,60677.86328125,5429.58633880615,242.3654,29.78137,6,142.5,False
24,60659.859375,9135.77346191406,242.2796,29.73352,6,142.5,False
25,60659.95703125,10670.1397705078,242.2801,29.73303,6,142.5,False
26,60659.70703125,13224.3027832031,242.2792,29.72632,6,142.5,False
27,60678.61328125,11105.9293945312,242.3697,29.76489,6,142.5,False
28,60635.66796875,15977.7114379883,242.1631,29.70007,6,142.5,False
29,61205.109375,18476.2302978516,239.8746,29.55518,7,142.5,False
30,61082.89453125,27523.9833251953,239.2886,29.31799,7,142.5,False
