Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;178.190490722656;58.744925481081;238.9459;28.60508;7;145.5;False
2;178.440368652344;64.2443763315678;238.7831;28.49427;7;145.5;False
3;178.41667175293;70.9254146754742;238.6852;28.47251;7;145.5;False
4;178.533020019531;44.7419144719839;238.867;28.49431;7;145.5;False
5;178.547515869141;89.406173825264;238.8856;28.49586;7;145.5;False
6;178.40266418457;71.9338707238436;238.7833;28.50406;7;145.5;False
7;180.180038452148;74.7094655156136;237.9217;27.80426;8;122.5;False
8;180.193130493164;79.0803788363934;237.9341;27.80441;8;122.5;False
9;180.252029418945;54.5006058573723;237.9968;27.8071;8;122.5;False
10;180.143493652344;22.5397051095963;237.9399;27.8187;8;122.5;False
11;180.212158203125;62.2838963449001;238.0782;27.84027;8;122.5;False
12;180.069793701172;49.4164858490229;237.9471;27.83954;8;122.5;False
13;180.115173339844;56.9204725176096;237.8682;27.80566;8;122.5;False
14;180.234069824219;59.0046030461788;237.9813;27.80731;8;122.5;False
15;180.074401855469;64.9844368517399;237.9366;27.83539;8;122.5;False
16;180.198104858398;61.0483574301004;237.9247;27.80048;8;122.5;False
17;180.205368041992;89.1085554122925;238.0466;27.83307;8;122.5;False
18;180.296173095703;26.4370497405529;238.0616;27.81415;8;122.5;False
19;180.173385620117;63.0907499939203;237.9501;27.81396;8;122.5;False
20;180.155639648438;48.9568850487471;237.952;27.81903;8;122.5;False
21;180.105255126953;62.8545038580894;237.867;27.80786;8;122.5;False
22;180.117645263672;81.3549080431461;237.9374;27.82458;8;122.5;False
23;180.264877319336;58.5931372791529;238.0854;27.82886;8;122.5;False
24;180.048294067383;101.050679916143;237.9469;27.84497;8;122.5;False
25;180.226211547852;53.0326737478375;237.9796;27.80884;8;122.5;False
26;180.169174194336;54.3970088064671;237.9225;27.80725;8;122.5;False
27;180.172515869141;39.2499891638756;237.9329;27.80933;8;122.5;False
28;180.162109375;72.9108810186386;237.936;27.81287;8;122.5;False
29;180.395294189453;51.1360495209694;237.6797;27.68115;7;132.5;False
30;180.453414916992;72.4638323903084;237.6833;27.66736;7;132.5;False
